,occupation,competency,category,description
3593,Computer Systems Engineers/Architects,"Research, test, or verify proper functioning of software patches and fixes.",Task Statements,Core
3594,Computer Systems Engineers/Architects,Speaking,Skills,Talking to others to convey information effectively.
3595,Computer Systems Engineers/Architects,MEDITECH software,Technology Skills,Medical software
3596,Computer Systems Engineers/Architects,Nagios,Technology Skills,Network monitoring software
3597,Computer Systems Engineers/Architects,Adobe Systems Adobe Flash,Technology Skills,Graphics or photo imaging software
3598,Computer Systems Engineers/Architects,Microsoft PowerShell,Technology Skills,Development environment software
3599,Computer Systems Engineers/Architects,Apache Groovy,Technology Skills,Object or component oriented development software
3600,Computer Systems Engineers/Architects,AJAX,Technology Skills,Web platform development software
3601,Computer Systems Engineers/Architects,Desktop computers,Tools Used,Desktop computers
3602,Computer Systems Engineers/Architects,Learning Strategies,Skills,Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
3603,Computer Systems Engineers/Architects,Backbone.js,Technology Skills,Web platform development software
3604,Computer Systems Engineers/Architects,Developing Objectives and Strategies,Work Activities,Establishing long-range objectives and specifying the strategies and actions to achieve them.
3605,Computer Systems Engineers/Architects,Selective Attention,Abilities,The ability to concentrate on a task over a period of time without being distracted.
3606,Computer Systems Engineers/Architects,Oracle Java 2 Platform Enterprise Edition J2EE,Technology Skills,Development environment software
3607,Computer Systems Engineers/Architects,Customer information control system CICS,Technology Skills,Transaction server software
3608,Computer Systems Engineers/Architects,Mass storage devices,Tools Used,High capacity removable media drives
3609,Computer Systems Engineers/Architects,Grails,Technology Skills,Web platform development software
3610,Computer Systems Engineers/Architects,Ruby,Technology Skills,Development environment software
3611,Computer Systems Engineers/Architects,Leadership,Work Styles,"Job requires a willingness to lead, take charge, and offer opinions and direction."
3612,Computer Systems Engineers/Architects,"Guiding, Directing, and Motivating Subordinates",Work Activities,"Providing guidance and direction to subordinates, including setting performance standards and monitoring performance."
3613,Computer Systems Engineers/Architects,Evaluating Information to Determine Compliance with Standards,Work Activities,"Using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards."
3614,Computer Systems Engineers/Architects,Computer network routers,Tools Used,Network routers
3615,Computer Systems Engineers/Architects,Teradata Database,Technology Skills,Data base management system software
3616,Computer Systems Engineers/Architects,Oracle Fusion Applications,Technology Skills,Enterprise resource planning ERP software
3617,Computer Systems Engineers/Architects,Microsoft Excel,Technology Skills,Spreadsheet software
3618,Computer Systems Engineers/Architects,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",Task Statements,Core
3619,Computer Systems Engineers/Architects,Quality Control Analysis,Skills,"Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
3620,Computer Systems Engineers/Architects,Job control language JCL,Technology Skills,Operating system software
3621,Computer Systems Engineers/Architects,Management of Personnel Resources,Skills,"Motivating, developing, and directing people as they work, identifying the best people for the job."
3622,Computer Systems Engineers/Architects,Microsoft PowerPoint,Technology Skills,Presentation software
3623,Computer Systems Engineers/Architects,Oracle JDBC,Technology Skills,Data base user interface and query software
3624,Computer Systems Engineers/Architects,Scheduling Work and Activities,Work Activities,"Scheduling events, programs, and activities, as well as the work of others."
3625,Computer Systems Engineers/Architects,Storage area network SAN software,Technology Skills,Storage networking software
3626,Computer Systems Engineers/Architects,Oracle Solaris,Technology Skills,Operating system software
3627,Computer Systems Engineers/Architects,Hypertext markup language HTML,Technology Skills,Web platform development software
3628,Computer Systems Engineers/Architects,Apple macOS,Technology Skills,Operating system software
3629,Computer Systems Engineers/Architects,"Direct the installation of operating systems, network or application software, or computer or network hardware.",Task Statements,Core
3630,Computer Systems Engineers/Architects,Written Comprehension,Abilities,The ability to read and understand information and ideas presented in writing.
3631,Computer Systems Engineers/Architects,NoSQL,Technology Skills,Data base management system software
3632,Computer Systems Engineers/Architects,PTC Creo Parametric,Technology Skills,Computer aided design CAD software
3633,Computer Systems Engineers/Architects,Laptop computers,Tools Used,Notebook computers
3634,Computer Systems Engineers/Architects,Salesforce software,Technology Skills,Customer relationship management CRM software
3635,Computer Systems Engineers/Architects,Self Control,Work Styles,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
3636,Computer Systems Engineers/Architects,Independence,Work Styles,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
3637,Computer Systems Engineers/Architects,Oracle Hyperion,Technology Skills,Enterprise resource planning ERP software
3638,Computer Systems Engineers/Architects,Oral Comprehension,Abilities,The ability to listen to and understand information and ideas presented through spoken words and sentences.
3639,Computer Systems Engineers/Architects,JavaScript Object Notation JSON,Technology Skills,Web platform development software
3640,Computer Systems Engineers/Architects,Perforce Helix software,Technology Skills,Configuration management software
3641,Computer Systems Engineers/Architects,Support,Work Values,"Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical."
3642,Computer Systems Engineers/Architects,"Direct the analysis, development, and operation of complete computer systems.",Task Statements,Core
3643,Computer Systems Engineers/Architects,Supervisory control and data acquisition SCADA software,Technology Skills,Industrial control software
3644,Computer Systems Engineers/Architects,C,Technology Skills,Development environment software
3645,Computer Systems Engineers/Architects,IBM Rational Rose,Technology Skills,Development environment software
3646,Computer Systems Engineers/Architects,Mathematics,Skills,Using mathematics to solve problems.
3647,Computer Systems Engineers/Architects,Red Hat WildFly,Technology Skills,Application server software
3648,Computer Systems Engineers/Architects,Python,Technology Skills,Object or component oriented development software
3649,Computer Systems Engineers/Architects,UNIX,Technology Skills,Operating system software
3650,Computer Systems Engineers/Architects,Hewlett Packard LoadRunner,Technology Skills,Program testing software
3651,Computer Systems Engineers/Architects,Microsoft SharePoint,Technology Skills,Project management software
3652,Computer Systems Engineers/Architects,Microsoft Active Directory,Technology Skills,Internet directory services software
3653,Computer Systems Engineers/Architects,Speech Clarity,Abilities,The ability to speak clearly so others can understand you.
3654,Computer Systems Engineers/Architects,Aonix Software Through Pictures,Technology Skills,Development environment software
3655,Computer Systems Engineers/Architects,"Complete models and simulations, using manual or automated tools, to analyze or predict system performance under different operating conditions.",Task Statements,Core
3656,Computer Systems Engineers/Architects,Flexibility of Closure,Abilities,"The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material."
3657,Computer Systems Engineers/Architects,Active Listening,Skills,"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
3658,Computer Systems Engineers/Architects,Provide customers or installation teams guidelines for implementing secure systems.,Task Statements,Core
3659,Computer Systems Engineers/Architects,"Document design specifications, installation instructions, and other system-related information.",Task Statements,Core
3660,Computer Systems Engineers/Architects,Adobe Systems Adobe Creative Cloud,Technology Skills,Graphics or photo imaging software
3661,Computer Systems Engineers/Architects,C#,Technology Skills,Object or component oriented development software
3662,Computer Systems Engineers/Architects,IBM Lotus SameTime,Technology Skills,Network conferencing software
3663,Computer Systems Engineers/Architects,Django,Technology Skills,Web platform development software
3664,Computer Systems Engineers/Architects,Atlassian Bamboo,Technology Skills,Enterprise application integration software
3665,Computer Systems Engineers/Architects,Microsoft SQL Server,Technology Skills,Data base user interface and query software
3666,Computer Systems Engineers/Architects,SAP Business Objects,Technology Skills,Enterprise resource planning ERP software
3667,Computer Systems Engineers/Architects,IBM ILOG,Technology Skills,Object or component oriented development software
3668,Computer Systems Engineers/Architects,Cooperation,Work Styles,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
3669,Computer Systems Engineers/Architects,Oracle Business Intelligence Enterprise Edition,Technology Skills,Business intelligence and data analysis software
3670,Computer Systems Engineers/Architects,Geographic information system GIS software,Technology Skills,Map creation software
3671,Computer Systems Engineers/Architects,"Verify stability, interoperability, portability, security, or scalability of system architecture.",Task Statements,Core
3672,Computer Systems Engineers/Architects,Adobe Systems Adobe FrameMaker,Technology Skills,Desktop publishing software
3673,Computer Systems Engineers/Architects,CA Erwin Data Modeler,Technology Skills,Metadata management software
3674,Computer Systems Engineers/Architects,Dassault Systemes CATIA,Technology Skills,Computer aided design CAD software
3675,Computer Systems Engineers/Architects,Qlik Tech QlikView,Technology Skills,Business intelligence and data analysis software
3676,Computer Systems Engineers/Architects,Autodesk Revit,Technology Skills,Computer aided design CAD software
3677,Computer Systems Engineers/Architects,Mainframe computers,Tools Used,Mainframe computers
3678,Computer Systems Engineers/Architects,Adobe Systems Adobe Flex,Technology Skills,Web platform development software
3679,Computer Systems Engineers/Architects,Bash,Technology Skills,Operating system software
3680,Computer Systems Engineers/Architects,Telecommunications,Knowledge,"Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems."
3681,Computer Systems Engineers/Architects,Selenium,Technology Skills,Program testing software
3682,Computer Systems Engineers/Architects,Engineering and Technology,Knowledge,"Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services."
3683,Computer Systems Engineers/Architects,Microsoft ASP.NET Core MVC,Technology Skills,Web platform development software
3684,Computer Systems Engineers/Architects,Motherboards,Tools Used,Motherboards
3685,Computer Systems Engineers/Architects,Puppet,Technology Skills,Configuration management software
3686,Computer Systems Engineers/Architects,Data entry software,Technology Skills,Data base user interface and query software
3687,Computer Systems Engineers/Architects,Interpreting the Meaning of Information for Others,Work Activities,Translating or explaining what information means and how it can be used.
3688,Computer Systems Engineers/Architects,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,Task Statements,Core
3689,Computer Systems Engineers/Architects,Google Analytics,Technology Skills,Data mining software
3690,Computer Systems Engineers/Architects,BroadVision software,Technology Skills,Web platform development software
3691,Computer Systems Engineers/Architects,Apache Maven,Technology Skills,Development environment software
3692,Computer Systems Engineers/Architects,Elasticsearch,Technology Skills,Data base management system software
3693,Computer Systems Engineers/Architects,Concern for Others,Work Styles,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
3694,Computer Systems Engineers/Architects,Coordinating the Work and Activities of Others,Work Activities,Getting members of a group to work together to accomplish tasks.
3695,Computer Systems Engineers/Architects,Complex Problem Solving,Skills,Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
3696,Computer Systems Engineers/Architects,Tableau,Technology Skills,Business intelligence and data analysis software
3697,Computer Systems Engineers/Architects,Dynamic hypertext markup language DHTML,Technology Skills,Web platform development software
3698,Computer Systems Engineers/Architects,jQuery,Technology Skills,Object or component oriented development software
3699,Computer Systems Engineers/Architects,Oracle WebLogic Server,Technology Skills,Application server software
3700,Computer Systems Engineers/Architects,Advanced business application programming ABAP,Technology Skills,Object or component oriented development software
3701,Computer Systems Engineers/Architects,Apache Ant,Technology Skills,Development environment software
3702,Computer Systems Engineers/Architects,Ubuntu,Technology Skills,Operating system software
3703,Computer Systems Engineers/Architects,Google AdWords,Technology Skills,Sales and marketing software
3704,Computer Systems Engineers/Architects,National Instruments LabVIEW,Technology Skills,Development environment software
3705,Computer Systems Engineers/Architects,Apache Subversion SVN,Technology Skills,File versioning software
3706,Computer Systems Engineers/Architects,"Develop system engineering, software engineering, system integration, or distributed system architectures.",Task Statements,Core
3707,Computer Systems Engineers/Architects,IBM SPSS Statistics,Technology Skills,Analytical or scientific software
3708,Computer Systems Engineers/Architects,"Organizing, Planning, and Prioritizing Work",Work Activities,"Developing specific goals and plans to prioritize, organize, and accomplish your work."
3709,Computer Systems Engineers/Architects,Develop application-specific software.,Task Statements,Core
3710,Computer Systems Engineers/Architects,IBM WebSphere,Technology Skills,Enterprise application integration software
3711,Computer Systems Engineers/Architects,LAMP Stack,Technology Skills,Web platform development software
3712,Computer Systems Engineers/Architects,IBM Domino,Technology Skills,Communications server software
3713,Computer Systems Engineers/Architects,MySQL,Technology Skills,Data base management system software
3714,Computer Systems Engineers/Architects,Radio frequency cables,Tools Used,Radio frequency RF cable
3715,Computer Systems Engineers/Architects,Near Vision,Abilities,The ability to see details at close range (within a few feet of the observer).
3716,Computer Systems Engineers/Architects,Working Conditions,Work Values,"Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions."
3717,Computer Systems Engineers/Architects,Stress Tolerance,Work Styles,Job requires accepting criticism and dealing calmly and effectively with high stress situations.
3718,Computer Systems Engineers/Architects,Extensible markup language XML,Technology Skills,Enterprise application integration software
3719,Computer Systems Engineers/Architects,Oracle JavaServer Pages JSP,Technology Skills,Web platform development software
3720,Computer Systems Engineers/Architects,Category Flexibility,Abilities,The ability to generate or use different sets of rules for combining or grouping things in different ways.
3721,Computer Systems Engineers/Architects,Microsoft Dynamics,Technology Skills,Enterprise resource planning ERP software
3722,Computer Systems Engineers/Architects,Atlassian JIRA,Technology Skills,Content workflow software
3723,Computer Systems Engineers/Architects,Microsoft Dynamics GP,Technology Skills,Enterprise resource planning ERP software
3724,Computer Systems Engineers/Architects,Science,Skills,Using scientific rules and methods to solve problems.
3725,Computer Systems Engineers/Architects,Oracle Java,Technology Skills,Object or component oriented development software
3726,Computer Systems Engineers/Architects,Verilog,Technology Skills,Development environment software
3727,Computer Systems Engineers/Architects,Cisco IOS,Technology Skills,Operating system software
3728,Computer Systems Engineers/Architects,Apache Cassandra,Technology Skills,Data base management system software
3729,Computer Systems Engineers/Architects,Provide technical guidance or support for the development or troubleshooting of systems.,Task Statements,Core
3730,Computer Systems Engineers/Architects,React,Technology Skills,Web platform development software
3731,Computer Systems Engineers/Architects,Personal computers,Tools Used,Personal computers
3732,Computer Systems Engineers/Architects,MongoDB,Technology Skills,Data base management system software
3733,Computer Systems Engineers/Architects,IONA Orbix,Technology Skills,Development environment software
3734,Computer Systems Engineers/Architects,Communicating with Persons Outside Organization,Work Activities,"Communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources. This information can be exchanged in person, in writing, or by telephone or e-mail."
3735,Computer Systems Engineers/Architects,Oracle PeopleSoft,Technology Skills,Enterprise resource planning ERP software
3736,Computer Systems Engineers/Architects,Deductive Reasoning,Abilities,The ability to apply general rules to specific problems to produce answers that make sense.
3737,Computer Systems Engineers/Architects,Computers and Electronics,Knowledge,"Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming."
3738,Computer Systems Engineers/Architects,Programming,Skills,Writing computer programs for various purposes.
3739,Computer Systems Engineers/Architects,DBTools Software DBManager Professional,Technology Skills,Data base management system software
3740,Computer Systems Engineers/Architects,Smartphones,Tools Used,Mobile phones
3741,Computer Systems Engineers/Architects,Groovy,Technology Skills,Web platform development software
3742,Computer Systems Engineers/Architects,Amazon Redshift,Technology Skills,Data base user interface and query software
3743,Computer Systems Engineers/Architects,Apache HTTP Server,Technology Skills,Portal server software
3744,Computer Systems Engineers/Architects,IBM Rational ClearCase,Technology Skills,Configuration management software
3745,Computer Systems Engineers/Architects,Problem Sensitivity,Abilities,"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem."
3746,Computer Systems Engineers/Architects,PostgreSQL,Technology Skills,Object oriented data base management software
3747,Computer Systems Engineers/Architects,Confluence,Technology Skills,Project management software
3748,Computer Systems Engineers/Architects,Spring,Technology Skills,Object or component oriented development software
3749,Computer Systems Engineers/Architects,Wireshark,Technology Skills,Network monitoring software
3750,Computer Systems Engineers/Architects,C++,Technology Skills,Object or component oriented development software
3751,Computer Systems Engineers/Architects,Recognition,Work Values,"Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status."
3752,Computer Systems Engineers/Architects,37signals Basecamp,Technology Skills,Project management software
3753,Computer Systems Engineers/Architects,Tablet computers,Tools Used,Tablet computers
3754,Computer Systems Engineers/Architects,Splunk Enterprise,Technology Skills,Enterprise system management software
3755,Computer Systems Engineers/Architects,IBM Infosphere Information Server,Technology Skills,Data base management system software
3756,Computer Systems Engineers/Architects,Thinking Creatively,Work Activities,"Developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions."
3757,Computer Systems Engineers/Architects,Establishing and Maintaining Interpersonal Relationships,Work Activities,"Developing constructive and cooperative working relationships with others, and maintaining them over time."
3758,Computer Systems Engineers/Architects,IBM Notes,Technology Skills,Electronic mail software
3759,Computer Systems Engineers/Architects,Evaluate existing systems to determine effectiveness and suggest changes to meet organizational requirements.,Task Statements,Core
3760,Computer Systems Engineers/Architects,Service Orientation,Skills,Actively looking for ways to help people.
3761,Computer Systems Engineers/Architects,Fluency of Ideas,Abilities,"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity)."
3762,Computer Systems Engineers/Architects,Active Learning,Skills,Understanding the implications of new information for both current and future problem-solving and decision-making.
3763,Computer Systems Engineers/Architects,JavaScript,Technology Skills,Web platform development software
3764,Computer Systems Engineers/Architects,Firewall software,Technology Skills,Network security and virtual private network VPN equipment software
3765,Computer Systems Engineers/Architects,Microsoft Exchange Server,Technology Skills,Electronic mail software
3766,Computer Systems Engineers/Architects,Selling or Influencing Others,Work Activities,Convincing others to buy merchandise/goods or to otherwise change their minds or actions.
3767,Computer Systems Engineers/Architects,Spring Boot,Technology Skills,Application server software
3768,Computer Systems Engineers/Architects,Oral Expression,Abilities,The ability to communicate information and ideas in speaking so others will understand.
3769,Computer Systems Engineers/Architects,Information Ordering,Abilities,"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations)."
3770,Computer Systems Engineers/Architects,Clarity Systems IBM Clarity,Technology Skills,Enterprise resource planning ERP software
3771,Computer Systems Engineers/Architects,Configure servers to meet functional specifications.,Task Statements,Core
3772,Computer Systems Engineers/Architects,Instructing,Skills,Teaching others how to do something.
3773,Computer Systems Engineers/Architects,Apache Hadoop,Technology Skills,Data base management system software
3774,Computer Systems Engineers/Architects,Smalltalk,Technology Skills,Object or component oriented development software
3775,Computer Systems Engineers/Architects,Intrusion detection system IDS,Technology Skills,Network security or virtual private network VPN management software
3776,Computer Systems Engineers/Architects,Critical Thinking,Skills,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems."
3777,Computer Systems Engineers/Architects,Making Decisions and Solving Problems,Work Activities,Analyzing information and evaluating results to choose the best solution and solve problems.
3778,Computer Systems Engineers/Architects,Oracle E-Business Suite Financials,Technology Skills,Financial analysis software
3779,Computer Systems Engineers/Architects,"Identify system data, hardware, or software components required to meet user needs.",Task Statements,Core
3780,Computer Systems Engineers/Architects,Oracle PL/SQL,Technology Skills,Data base management system software
3781,Computer Systems Engineers/Architects,Structured query language SQL,Technology Skills,Data base user interface and query software
3782,Computer Systems Engineers/Architects,Inductive Reasoning,Abilities,The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).
3783,Computer Systems Engineers/Architects,Extensible HyperText Markup Language XHTML,Technology Skills,Web platform development software
3784,Computer Systems Engineers/Architects,Web browser software,Technology Skills,Internet browser software
3785,Computer Systems Engineers/Architects,Microsoft .NET Framework,Technology Skills,Development environment software
3786,Computer Systems Engineers/Architects,Initiative,Work Styles,Job requires a willingness to take on responsibilities and challenges.
3787,Computer Systems Engineers/Architects,Scala,Technology Skills,Object or component oriented development software
3788,Computer Systems Engineers/Architects,Written Expression,Abilities,The ability to communicate information and ideas in writing so others will understand.
3789,Computer Systems Engineers/Architects,Altia Design,Technology Skills,Graphical user interface development software
3790,Computer Systems Engineers/Architects,Dependability,Work Styles,"Job requires being reliable, responsible, and dependable, and fulfilling obligations."
3791,Computer Systems Engineers/Architects,Delphi Technology,Technology Skills,Financial analysis software
3792,Computer Systems Engineers/Architects,Graphics display cards,Tools Used,Graphics or video accelerator cards
3793,Computer Systems Engineers/Architects,Jupyter Notebook,Technology Skills,Object or component oriented development software
3794,Computer Systems Engineers/Architects,Oracle Primavera Enterprise Project Portfolio Management,Technology Skills,Project management software
3795,Computer Systems Engineers/Architects,Computer aided design and drafting CADD software,Technology Skills,Computer aided design CAD software
3796,Computer Systems Engineers/Architects,Virtual private networking VPN software,Technology Skills,Network security or virtual private network VPN management software
3797,Computer Systems Engineers/Architects,Getting Information,Work Activities,"Observing, receiving, and otherwise obtaining information from all relevant sources."
3798,Computer Systems Engineers/Architects,Practical extraction and reporting language Perl,Technology Skills,Object or component oriented development software
3799,Computer Systems Engineers/Architects,"Judging the Qualities of Things, Services, or People",Work Activities,"Assessing the value, importance, or quality of things or people."
3800,Computer Systems Engineers/Architects,Wide area network WAN software,Technology Skills,WAN switching software and firmware
3801,Computer Systems Engineers/Architects,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",Task Statements,Core
3802,Computer Systems Engineers/Architects,Microsoft Office,Technology Skills,Office suite software
3803,Computer Systems Engineers/Architects,Adobe Systems Adobe Dreamweaver,Technology Skills,Web page creation and editing software
3804,Computer Systems Engineers/Architects,Adobe Systems Adobe ActionScript,Technology Skills,Development environment software
3805,Computer Systems Engineers/Architects,Writing,Skills,Communicating effectively in writing as appropriate for the needs of the audience.
3806,Computer Systems Engineers/Architects,IBM Rational Build Forge,Technology Skills,Configuration management software
3807,Computer Systems Engineers/Architects,Developing and Building Teams,Work Activities,"Encouraging and building mutual trust, respect, and cooperation among team members."
3808,Computer Systems Engineers/Architects,Oracle Taleo,Technology Skills,Human resources software
3809,Computer Systems Engineers/Architects,Git,Technology Skills,File versioning software
3810,Computer Systems Engineers/Architects,Google AngularJS,Technology Skills,Web platform development software
3811,Computer Systems Engineers/Architects,Microsoft Project,Technology Skills,Project management software
3812,Computer Systems Engineers/Architects,Formula translation/translator FORTRAN,Technology Skills,Development environment software
3813,Computer Systems Engineers/Architects,Analyzing Data or Information,Work Activities,"Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts."
3814,Computer Systems Engineers/Architects,Citrix,Technology Skills,Access software
3815,Computer Systems Engineers/Architects,Design,Knowledge,"Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models."
3816,Computer Systems Engineers/Architects,Enterprise JavaBeans,Technology Skills,Web platform development software
3817,Computer Systems Engineers/Architects,Originality,Abilities,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem."
3818,Computer Systems Engineers/Architects,IBM AIX,Technology Skills,Operating system software
3819,Computer Systems Engineers/Architects,Microsoft Access,Technology Skills,Data base user interface and query software
3820,Computer Systems Engineers/Architects,Customer and Personal Service,Knowledge,"Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction."
3821,Computer Systems Engineers/Architects,Number Facility,Abilities,"The ability to add, subtract, multiply, or divide quickly and correctly."
3822,Computer Systems Engineers/Architects,Train system users in system operation or maintenance.,Task Statements,Core
3823,Computer Systems Engineers/Architects,Adobe Systems Adobe AIR,Technology Skills,Development environment software
3824,Computer Systems Engineers/Architects,Social Perceptiveness,Skills,Being aware of others' reactions and understanding why they react as they do.
3825,Computer Systems Engineers/Architects,Adobe Systems Adobe Fireworks,Technology Skills,Graphics or photo imaging software
3826,Computer Systems Engineers/Architects,Apple Final Cut Pro,Technology Skills,Video creation and editing software
3827,Computer Systems Engineers/Architects,LexisNexis,Technology Skills,Information retrieval or search software
3828,Computer Systems Engineers/Architects,Spring Framework,Technology Skills,Web platform development software
3829,Computer Systems Engineers/Architects,Design and conduct hardware or software tests.,Task Statements,Core
3830,Computer Systems Engineers/Architects,Network intrusion prevention systems NIPS,Technology Skills,Network monitoring software
3831,Computer Systems Engineers/Architects,GitHub,Technology Skills,Application server software
3832,Computer Systems Engineers/Architects,"Communicating with Supervisors, Peers, or Subordinates",Work Activities,"Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person."
3833,Computer Systems Engineers/Architects,Oracle Eloqua,Technology Skills,Customer relationship management CRM software
3834,Computer Systems Engineers/Architects,IBM Rational Application Developer,Technology Skills,Development environment software
3835,Computer Systems Engineers/Architects,Innovation,Work Styles,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
3836,Computer Systems Engineers/Architects,SAP,Technology Skills,Enterprise resource planning ERP software
3837,Computer Systems Engineers/Architects,Systems Evaluation,Skills,"Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
3838,Computer Systems Engineers/Architects,Updating and Using Relevant Knowledge,Work Activities,Keeping up-to-date technically and applying new knowledge to your job.
3839,Computer Systems Engineers/Architects,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",Work Activities,"Providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used."
3840,Computer Systems Engineers/Architects,Achievement/Effort,Work Styles,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
3841,Computer Systems Engineers/Architects,Coaching and Developing Others,Work Activities,"Identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills."
3842,Computer Systems Engineers/Architects,Epic Systems,Technology Skills,Medical software
3843,Computer Systems Engineers/Architects,English Language,Knowledge,"Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar."
3844,Computer Systems Engineers/Architects,Persistence,Work Styles,Job requires persistence in the face of obstacles.
3845,Computer Systems Engineers/Architects,KornShell,Technology Skills,Operating system software
3846,Computer Systems Engineers/Architects,JUnit,Technology Skills,Program testing software
3847,Computer Systems Engineers/Architects,Apache Pig,Technology Skills,Data base management system software
3848,Computer Systems Engineers/Architects,Docker,Technology Skills,Application server software
3849,Computer Systems Engineers/Architects,Investigate system component suitability for specified purposes and make recommendations regarding component use.,Task Statements,Core
3850,Computer Systems Engineers/Architects,Monitoring,Skills,"Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
3851,Computer Systems Engineers/Architects,Relational database management software,Technology Skills,Data base management system software
3852,Computer Systems Engineers/Architects,Develop efficient and effective system controllers.,Task Statements,Core
3853,Computer Systems Engineers/Architects,Apache Solr,Technology Skills,Data base management system software
3854,Computer Systems Engineers/Architects,"Communicate project information through presentations, technical reports, or white papers.",Task Statements,Core
3855,Computer Systems Engineers/Architects,Microsoft Visual Studio,Technology Skills,Development environment software
3856,Computer Systems Engineers/Architects,Monitor system operation to detect potential problems.,Task Statements,Core
3857,Computer Systems Engineers/Architects,Lightweight directory access protocol LDAP servers,Tools Used,Access servers
3858,Business Intelligence Analysts,Microsoft Visual Basic Scripting Edition VBScript,Technology Skills,Development environment software
3859,Business Intelligence Analysts,Microsoft Azure,Technology Skills,Development environment software
3860,Business Intelligence Analysts,Judgment and Decision Making,Skills,Considering the relative costs and benefits of potential actions to choose the most appropriate one.
3861,Business Intelligence Analysts,Persuasion,Skills,Persuading others to change their minds or behavior.
3862,Business Intelligence Analysts,Symantec,Technology Skills,Transaction security and virus protection software
3863,Business Intelligence Analysts,Linux,Technology Skills,Operating system software
3864,Business Intelligence Analysts,Transact-SQL,Technology Skills,Data base user interface and query software
3865,Business Intelligence Analysts,Oracle JD Edwards EnterpriseOne,Technology Skills,Enterprise resource planning ERP software
3866,Business Intelligence Analysts,Apache Struts,Technology Skills,Web platform development software
3867,Business Intelligence Analysts,Swift,Technology Skills,Object or component oriented development software
3868,Business Intelligence Analysts,"Communicate with customers, competitors, suppliers, professional organizations, or others to stay abreast of industry or business trends.",Task Statements,Core
3869,Business Intelligence Analysts,Minitab,Technology Skills,Analytical or scientific software
3870,Business Intelligence Analysts,Processing Information,Work Activities,"Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data."
3871,Business Intelligence Analysts,Time Management,Skills,Managing one's own time and the time of others.
3872,Business Intelligence Analysts,Reading Comprehension,Skills,Understanding written sentences and paragraphs in work related documents.
3873,Business Intelligence Analysts,SAP Crystal Reports,Technology Skills,Data base reporting software
3874,Business Intelligence Analysts,Integrity,Work Styles,Job requires being honest and ethical.
