id,title,identifier,score_all,name
859,Data Analyst,15-1199.07,0.8208812750846936,Data Warehousing Specialists
860,Data Analyst,15-1121.00,0.8522514075629891,Computer Systems Analysts
861,Passionate about analytics and business intelligence? Join o...,15-1199.08,0.8278673159835169,Business Intelligence Analysts
862,Data Visualization Specialist,15-1199.04,0.8209410305026743,Geospatial Information Scientists and Technologists
863,"Business Analyst (Montreal, QC)",15-1199.08,0.8429112374874378,Business Intelligence Analysts
864,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
865,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
866,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
867,BI Analyst,15-1111.00,0.858162376392638,Computer and Information Research Scientists
868,Workforce Management Analyst,15-1199.08,0.8722848592438981,Business Intelligence Analysts
869,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
870,Data Visualization Specialist,15-1199.04,0.8209410305026743,Geospatial Information Scientists and Technologists
871,"Business Analyst (Montreal, QC)",15-1199.08,0.8429112374874378,Business Intelligence Analysts
872,Spécialiste en Analyse des données / Data Analyst,15-1199.08,0.6027011701582217,Business Intelligence Analysts
873,Business Analyst (Customer experience),15-1199.08,0.8434149735606825,Business Intelligence Analysts
874,E-Commerce Marketing Data Analyst,15-1199.08,0.8936160527219986,Business Intelligence Analysts
875,Business Intelligence Analyst / Analyste en intelligence d’a...,15-1199.08,0.7544166017509274,Business Intelligence Analysts
876,Spécialiste en Analyse des données / Data Analyst,15-1199.08,0.6027011701582217,Business Intelligence Analysts
877,Pricing Analyst / Analyste,15-1121.00,0.8056061675349049,Computer Systems Analysts
878,Data Analytics / Développeur Stage - Business Intelligence D...,15-1199.08,0.6674674070503795,Business Intelligence Analysts
879,Game Analyst (m/f/d),15-1121.00,0.8108185891097693,Computer Systems Analysts
880,"Analyst , Supply Chain Management - Montreal",15-1121.00,0.8415667159892265,Computer Systems Analysts
881,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
882,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
883,Workforce Management Analyst,15-1199.08,0.8722848592438981,Business Intelligence Analysts
884,BI Analyst,15-1111.00,0.858162376392638,Computer and Information Research Scientists
885,Business Analyst,15-1199.08,0.8939023049365087,Business Intelligence Analysts
886,Junior Security Analyst - Express Scripts,15-1122.00,0.847817874193322,Information Security Analysts
887,Planning Analyst (1 year contract),15-1199.08,0.8584670110552941,Business Intelligence Analysts
888,Analyste Budgétaire/ Budgeting Analyst MTY Group,15-1199.08,0.7355136719295301,Business Intelligence Analysts
889,Business Intelligence Analyst,15-1199.08,0.916225774214657,Business Intelligence Analysts
890,Project Analyst II,13-2099.01,0.7947228598410048,Financial Quantitative Analysts
891,Analyste - Calculs et entrée de données / Analyst-Calculatio...,15-1199.08,0.279254413371787,Business Intelligence Analysts
892,"Analyst, Master Data Management",15-1121.00,0.8557538394784249,Computer Systems Analysts
893,Digital Marketing-Data Analyst,15-1121.00,0.7682386113716756,Computer Systems Analysts
894,Brother Emerging Talent Associate - Data Analyst / Brother E...,15-1199.08,0.7881101206735696,Business Intelligence Analysts
895,Data Visualization Specialist,15-1199.04,0.8209410305026743,Geospatial Information Scientists and Technologists
896,"Business Analyst (Montreal, QC)",15-1199.08,0.8429112374874378,Business Intelligence Analysts
897,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
898,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
899,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
900,BI Analyst,15-1111.00,0.858162376392638,Computer and Information Research Scientists
901,Workforce Management Analyst,15-1199.08,0.8722848592438981,Business Intelligence Analysts
902,Senior Data Analyst,15-1199.08,0.8635551150282382,Business Intelligence Analysts
903,"Senior Analyst, Risk Oversight",15-1199.08,0.9030932134329291,Business Intelligence Analysts
904,Business Analyst/Analyste d’affaire,15-1199.08,0.5793993060239317,Business Intelligence Analysts
905,Principal Data Analyst,15-1111.00,0.8933036265747519,Computer and Information Research Scientists
906,"Product Analyst - Open Location - Canada, USA or UK",15-1199.04,0.828199537602959,Geospatial Information Scientists and Technologists
907,Business Systems Analyst II,15-1121.00,0.8980486769861866,Computer Systems Analysts
908,Process Analyst,15-1121.00,0.8615325201067383,Computer Systems Analysts
909,Business Analyst - Supply Chain,15-1199.08,0.8167481929814417,Business Intelligence Analysts
910,Team Lead - BI / Big Data Developers,15-1111.00,0.8351554112785963,Computer and Information Research Scientists
911,Data Visualization Specialist,15-1199.04,0.8209410305026743,Geospatial Information Scientists and Technologists
912,"Business Analyst (Montreal, QC)",15-1199.08,0.8429112374874378,Business Intelligence Analysts
913,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
914,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
915,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
916,BI Analyst,15-1111.00,0.858162376392638,Computer and Information Research Scientists
917,Workforce Management Analyst,15-1199.08,0.8722848592438981,Business Intelligence Analysts
918,"SENIOR ANALYST, STRATEGIC PLANNING",15-1199.08,0.916078663914969,Business Intelligence Analysts
919,Procurement/Buyer/Sourcing Analyst,15-1199.08,0.7942266141556489,Business Intelligence Analysts
920,Problem and Process Support Analyst 3145374,15-1121.00,0.8179133152719122,Computer Systems Analysts
921,"Reliability Analyst, Maintenance Data Analysis",15-1121.00,0.8544219989475931,Computer Systems Analysts
922,Data & BI Analyst,15-1111.00,0.8758463719099326,Computer and Information Research Scientists
923,"Senior Analyst, Budget, Forecast and Systems, Treasury",15-1121.00,0.9011177730733629,Computer Systems Analysts
924,Team Lead - Data Analysts,15-1199.08,0.8510279491196067,Business Intelligence Analysts
925,"Advisor, Business Intelligence Data Acquisition and Analysis",15-1199.08,0.9210587535994768,Business Intelligence Analysts
926,Supply Chain Analyst / Analyste de la chaîne d’approvisionne...,15-1199.08,0.46449848080329753,Business Intelligence Analysts
927,Data Visualization Specialist,15-1199.04,0.8209410305026743,Geospatial Information Scientists and Technologists
928,"Business Analyst (Montreal, QC)",15-1199.08,0.8429112374874378,Business Intelligence Analysts
929,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
930,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
931,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
932,BI Analyst,15-1111.00,0.858162376392638,Computer and Information Research Scientists
933,Workforce Management Analyst,15-1199.08,0.8722848592438981,Business Intelligence Analysts
934,TELUS Business Solutions – Sales Business Analyst,15-1199.08,0.9000472496424737,Business Intelligence Analysts
935,BI Research & Innovation Consultant,15-1121.00,0.8137872087415576,Computer Systems Analysts
936,Business Development Analyst,15-1199.08,0.8491227673016222,Business Intelligence Analysts
937,Business Intelligence Analyst / Analyste en intelligence d'a...,15-1199.08,0.8561676136614842,Business Intelligence Analysts
938,"Influencer Marketing Data Analyst, Digital Marketing Analyti...",15-1199.08,0.8938537851245776,Business Intelligence Analysts
939,Business Analyst,15-1121.00,0.7142437640138365,Computer Systems Analysts
940,Business Analyst – Business Process Optimization,15-1121.00,0.8441178917817607,Computer Systems Analysts
941,Senior IT Business Analyst – Data Governance,15-1199.08,0.9300810798483427,Business Intelligence Analysts
942,Marketing Performance Analyst,15-1199.08,0.8666447098853817,Business Intelligence Analysts
943,Montreal - Junior Business Analyst/ Junior Project Manager,15-1199.08,0.6531585485299012,Business Intelligence Analysts
944,Data Visualization Specialist,15-1199.04,0.8209410305026743,Geospatial Information Scientists and Technologists
945,"Business Analyst (Montreal, QC)",15-1199.08,0.8429112374874378,Business Intelligence Analysts
946,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
947,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
948,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
949,BI Analyst,15-1111.00,0.858162376392638,Computer and Information Research Scientists
950,Workforce Management Analyst,15-1199.08,0.8722848592438981,Business Intelligence Analysts
951,Business Intelligence Administrator,15-1141.00,0.8639416079728912,Database Administrators
952,Sales Analyst (Pricing) // Analyste des ventes (Tarification...,15-1121.00,0.7413959231192081,Computer Systems Analysts
953,Business Analyst,15-1199.08,0.8410115234085805,Business Intelligence Analysts
954,"Analyste fonctionnel, approvisionnement / Business Analyst",15-1121.00,0.7421281917396546,Computer Systems Analysts
955,"Actuarial Analyst, Commercial Lines Pricing",15-1121.00,0.8622044221769841,Computer Systems Analysts
956,Analyste Vérification de données - Data Review Analyst,15-1199.08,0.512148279319727,Business Intelligence Analysts
957,Stagiaire Intelligence d’Affaires (Débute le 4 mai pour 15 s...,15-1199.08,0.2924672140551138,Business Intelligence Analysts
958,"Analyst, Client Support",15-1121.00,0.8784868400032845,Computer Systems Analysts
959,Inventory Analyst / Planner,15-1199.08,0.833660168420721,Business Intelligence Analysts
960,Business Process Analyst,15-1121.00,0.8308830009496644,Computer Systems Analysts
961,Data Visualization Specialist,15-1199.04,0.8209410305026743,Geospatial Information Scientists and Technologists
962,"Business Analyst (Montreal, QC)",15-1199.08,0.8429112374874378,Business Intelligence Analysts
963,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
964,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
965,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
966,BI Analyst,15-1111.00,0.858162376392638,Computer and Information Research Scientists
967,Workforce Management Analyst,15-1199.08,0.8722848592438981,Business Intelligence Analysts
968,Sales Operations Analyst,15-1199.08,0.8627630759981312,Business Intelligence Analysts
969,Digital Performance Analyst,15-1121.00,0.8672165912280889,Computer Systems Analysts
970,Analyste Approvisionnements - Procurement Analyst,15-1199.08,0.8322280786048925,Business Intelligence Analysts
971,Business Process Analyst,15-1121.00,0.8308830009496644,Computer Systems Analysts
972,Security Business Analyst,15-1122.00,0.8992031967247108,Information Security Analysts
973,Spécialiste BI / BI Specialist,15-1121.00,0.717793630832076,Computer Systems Analysts
974,BI Business Analyst,15-1199.08,0.8397045176041228,Business Intelligence Analysts
975,Business Intelligence analyst,15-1199.08,0.9065047121483705,Business Intelligence Analysts
976,"Analyst, Digital Transformation",15-1199.08,0.9040950390493385,Business Intelligence Analysts
977,Bilingual Reporting Analyst,15-1199.08,0.9256050466025799,Business Intelligence Analysts
978,"Business Analyst (Montreal, QC)",15-1199.08,0.8429112374874378,Business Intelligence Analysts
979,Data Visualization Specialist,15-1199.04,0.8209410305026743,Geospatial Information Scientists and Technologists
980,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
981,BI Analyst,15-1111.00,0.858162376392638,Computer and Information Research Scientists
982,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
983,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
984,"Senior Actuarial Analyst, Pricing",15-1199.08,0.8601359951889193,Business Intelligence Analysts
985,"BUSINESS TECHNOLOGY ANALYST / ANALYSTE,TECHNOLOGIES D’AFFAIR...",15-1121.00,0.8821557275478372,Computer Systems Analysts
986,Functional Analyst - Ref.: CAR-0055,15-1111.00,0.8871745529525112,Computer and Information Research Scientists
987,Intermediate Programmer/Analyst,15-1199.08,0.7013350622009348,Business Intelligence Analysts
988,"Stagiaire , Intelligence d'affaires / Intern, Business Intel...",15-1199.08,0.7409474176378623,Business Intelligence Analysts
989,"Analyste, Comptes Débiteurs- Analyst, Accounts Receivables",15-1121.00,0.7430155018251371,Computer Systems Analysts
990,Operations Support Analyst - FAM,15-1121.00,0.7489049731294031,Computer Systems Analysts
991,Technical Business Systems Analyst – Mississauga & Montreal,15-1121.00,0.8937530372389398,Computer Systems Analysts
992,Business Intelligence and Analytics Manager,15-1199.08,0.9012087224060887,Business Intelligence Analysts
993,IT Business Analyst,15-1199.08,0.899663524497302,Business Intelligence Analysts
994,Digital Marketing-Data Analyst,15-1121.00,0.7682386113716756,Computer Systems Analysts
995,Brother Emerging Talent Associate - Data Analyst / Brother E...,15-1199.08,0.7881101206735696,Business Intelligence Analysts
996,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
997,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
998,"Business Analyst (Montreal, QC)",15-1199.08,0.8429112374874378,Business Intelligence Analysts
999,BI Analyst,15-1111.00,0.858162376392638,Computer and Information Research Scientists
1000,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
1001,Business Analyst,15-1199.08,0.8700256714404846,Business Intelligence Analysts
1002,Customer Operations Analyst,15-1199.08,0.8448645960216267,Business Intelligence Analysts
1003,Business Analyst - Integrated Reporting/Business Intelligenc...,15-1199.08,0.9116224946574286,Business Intelligence Analysts
1004,M&A Analyst (Business Development),15-1199.08,0.8715950289764924,Business Intelligence Analysts
1005,"Business Analyst, Process Optimization",15-1199.08,0.8629142673512533,Business Intelligence Analysts
